Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-02 13:08:06.433129+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d from group
2025-07-02 13:08:06.433148+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d to group
2025-07-02 13:08:06.714555+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x13420b220> windowNumber=36d from group
2025-07-02 13:08:06.714577+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d from group
2025-07-02 13:08:06.714597+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x13420b220> windowNumber=36d to group
2025-07-02 13:08:06.714956+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d to group
2025-07-02 13:08:06.715315+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x13420b220> windowNumber=36d from group
2025-07-02 13:08:06.715345+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d from group
2025-07-02 13:08:06.715361+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d to group
2025-07-02 13:08:07.273654+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c49770> windowNumber=36e from group
2025-07-02 13:08:07.273677+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d from group
2025-07-02 13:08:07.273697+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119c49770> windowNumber=36e to group
2025-07-02 13:08:07.274099+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d to group
2025-07-02 13:08:07.274482+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c49770> windowNumber=36e from group
2025-07-02 13:08:07.274527+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d from group
2025-07-02 13:08:07.274543+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d to group
2025-07-02 13:08:07.385212+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c4aa30> windowNumber=36f from group
2025-07-02 13:08:07.385233+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d from group
2025-07-02 13:08:07.385254+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NativeWidgetMacNSWindow: 0x119c4aa30> windowNumber=36f to group
2025-07-02 13:08:07.385656+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e add <NSToolbarFullScreenWindow: 0x119c45d60> windowNumber=35d to group
2025-07-02 13:08:07.386080+0100 0x5025     Default     0x0                  1299   0    Electron: (AppKit) [com.apple.AppKit:Window] parent <ElectronNSWindow: 0x14363fed0> windowNumber=9e remove <NativeWidgetMacNSWindow: 0x119c4aa30> windowNumber=36f from group
